,bhk,price,size,location
0,3,45.0,1500,CHRISTIAN BASTI
1,3,78.79,1751,LAL GANESH
2,2,31.5,750,BORAGAON
3,2,50.0,1100,BAGHARBARI
4,3,65.2,1630,BELTOLA
5,3,49.96,1249,AHOM GAON
6,4,64.0,1400,BAMUNIMAIDAM
7,2,40.0,900,KAHILIPARA
8,3,65.0,1300,BELTOLA
9,3,74.25,1650,SIX MILE
10,3,56.3,1320,KAHILIPARA
11,4,256.0,3425,REHABARI
12,1,32.0,660,SIX MILE
13,3,65.0,1300,LOKHRA
14,2,42.5,860,LAL GANESH
15,3,59.5,1150,KAHILIPARA
16,2,47.0,1023,BELTOLA
17,3,36.0,850,JYOTIKUCHI
18,3,66.73,1405,BAMUNIMAIDAM
19,3,51.0,1150,SARANIA HILLS
20,3,65.0,1300,SIX MILE
21,3,64.0,1030,GANESHGURI
22,3,65.2,1630,BELTOLA
23,2,34.44,861,AHOM GAON
24,4,77.5,1350,KAHILIPARA
25,2,43.0,1000,SACHAL PATH VIP ROAD BYLANE NUMBER 1
26,2,64.8,909,CHANDMARI
27,2,47.0,1150,NOONMATI
28,3,80.0,1380,ULUBARI
29,3,99.0,1990,DISPUR
30,3,73.68,1842,BELTOLA
31,3,45.56,1114,AHOM GAON
32,3,61.36,1180,BELTOLA
33,3,70.0,1444,SARUMOTORIA
34,3,66.0,1400,SOUTH SARANIA ROAD
35,3,65.0,1350,DOWNTOWN
36,4,65.0,1800,JATIA
37,3,92.95,1430,ATHGAON
38,2,31.0,849,DHARAPUR
39,3,72.5,1450,BAMUNIMAIDAM
40,2,53.0,1064,RADHA NAGAR
41,3,51.5,1264,BAMUNIMAIDAN
42,2,33.0,953,DHARAPUR
43,1,20.0,431,LOKHRA
44,3,45.0,1400,CHRISTIAN BASTI
45,2,43.0,1020,GHORAMARA
46,3,58.55,1050,CHANDMARI
47,4,72.0,1810,DHARAPUR
48,3,62.28,1450,DHARAPUR
49,4,126.0,1440,ZOO TINIALI
50,2,37.0,750,LOKHRA
51,3,55.0,1300,BORBARI
52,3,74.0,1453,SIX MILE
53,2,42.3,940,LAL GANESH
54,2,50.0,913,SARUMOTORIA
55,3,67.2,1400,RADHA NAGAR
56,3,75.0,1650,GANESHGURI
57,3,55.0,1242,BELTOLA
58,3,73.68,1842,BELTOLA
59,1,20.0,450,KAHILIPARA ROAD
60,3,71.35,1695,ULUBARI
61,4,91.53,2350,DHARAPUR
62,2,45.5,850,CHANDMARI
63,3,80.6,1550,ZOO ROAD
64,2,43.0,1050,KAHILIPARA
65,3,68.0,1450,GANESHGURI
66,3,54.0,1250,KAHILIPARA ROAD
67,3,40.0,932,DISPUR
68,2,40.0,950,DOWNTOWN
69,3,150.0,2000,BELTOLA
70,3,56.38,1170,KAHILIPARA
71,4,78.65,1958,AZARA
72,2,43.0,850,PATOR KUCHI
73,3,75.0,1105,GHORAMARA
74,2,38.4,960,BASISTHA
75,3,54.0,1200,KALA PAHAR
76,3,49.01,1181,LOKHRA
77,2,49.02,1043,SIX MILE
78,2,56.7,1134,DISPUR
79,2,48.38,1152,KAHILIPARA
80,1,22.05,630,AZARA
81,3,52.5,1250,LAL GANESH
82,3,79.0,1550,GANESHGURI
83,2,35.0,800,LAL GANESH
84,2,47.0,990,LALMATI
85,2,37.0,800,RUKMINI GAON
86,3,62.0,1170,KALA PAHAR
87,3,67.0,1200,REHABARI
88,3,66.0,1300,GHORAMARA
89,3,77.0,1350,MATHGHARIA
90,2,38.0,750,KAHILIPARA
91,3,75.0,1500,BASISTHA
92,3,71.0,1500,KHANAPARA
93,3,130.0,2050,BHANGAGARH
94,3,60.0,1350,CHANDMARI
95,3,63.0,1135,GEETANAGAR
